loc,v(g),ev(g),iv(g),v,l,d,i,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,Label
47,2,1,2,718.9,0.05,19.55,36.77,780.81,25,7,12,0,18,20,95,46,5,1
24,2,1,2,202.05,0.12,8.25,24.49,92.6,13,0,8,0,11,10,31,15,3,1
18,2,1,2,197.65,0.12,8.25,23.96,90.59,12,0,4,0,11,10,30,15,3,1
17,3,3,2,184.48,0.13,7.7,23.96,78.92,11,0,4,0,11,10,28,14,5,1
17,2,1,2,178.38,0.11,9.39,19,93.04,11,0,4,0,13,9,27,13,3,1
17,2,1,2,161.42,0.13,7.56,21.34,67.82,11,0,4,0,11,8,27,11,3,1
107,5,1,5,3303.41,0.05,20.19,163.64,3704.86,99,1,7,0,17,88,283,209,9,1
15,2,1,2,151.27,0.12,8.25,18.34,69.33,9,0,4,0,12,8,24,11,3,1
42,4,1,4,893.59,0.06,15.44,57.87,766.56,31,3,6,0,14,34,85,75,7,1
157,17,3,13,3727.83,0.01,67.59,55.15,13998.39,131,0,24,0,32,49,381,207,30,1
68,6,1,5,1064.39,0.05,21.6,49.28,1277.26,41,14,10,1,15,25,128,72,11,1
10,1,1,1,0,0,0,0,0,1,7,0,0,1,0,1,0,1,1
102,15,5,13,1025.15,0.08,12.73,80.51,725.15,71,19,10,0,15,43,102,73,29,1
94,17,1,6,1470.35,0.03,30.89,47.61,2522.94,83,0,7,0,23,35,157,94,31,1
20,2,1,2,182.84,0.17,5.88,31.07,59.77,12,4,1,0,9,13,24,17,3,1
9,1,1,1,57.36,0.4,2.5,22.94,7.97,5,0,2,0,5,7,9,7,1,1
24,2,1,2,214.05,0.24,4.13,51.89,49.05,16,2,4,0,6,16,26,22,3,1
17,3,1,1,133.44,0.12,8.13,16.42,60.23,10,1,3,1,10,8,19,13,5,1
39,3,1,3,850.16,0.04,23.8,35.71,1124.31,29,0,4,0,14,23,88,73,5,1
155,11,4,8,3135.97,0.01,67.53,46.44,11764.6,106,42,4,1,19,37,277,263,16,1
25,3,1,3,283.63,0.12,8.67,32.72,136.56,20,0,3,0,13,15,39,20,5,1
14,3,1,3,125.64,0.12,8.67,14.5,60.49,12,0,0,0,8,6,20,13,5,1
17,3,1,3,271.41,0.12,8.36,32.47,126.01,13,0,2,0,9,14,34,26,5,1
15,2,1,2,182.84,0.13,7.5,24.38,76.18,12,0,1,0,10,12,23,18,3,1
20,3,3,2,503.8,0.09,10.62,47.46,297.11,11,0,6,0,12,26,50,46,5,1
10,2,1,2,112.59,0.15,6.87,16.37,43,6,1,0,1,10,8,16,11,3,1
15,2,1,2,180.94,0.17,5.79,31.27,58.16,11,0,2,0,9,14,22,18,3,1
25,1,1,1,440.16,0.1,10.5,41.92,256.76,14,4,4,1,9,15,61,35,1,1
17,3,1,3,496.33,0.05,20.25,24.51,558.37,15,0,0,0,9,12,59,54,5,1
44,4,1,4,475.69,0.1,9.78,48.65,258.39,30,1,10,1,12,27,46,44,7,1
188,18,18,9,2489.02,0.03,39.71,62.69,5490.48,82,25,78,1,27,51,246,150,35,1
102,2,1,2,1875.18,0.01,79.38,23.62,8270.03,58,6,36,0,16,13,257,129,3,1
7,1,1,1,70.31,0.4,2.5,28.12,9.77,4,0,0,0,5,8,11,8,1,1
26,3,1,3,261.33,0.13,7.5,34.85,108.89,21,0,2,0,10,14,36,21,4,1
37,3,1,3,267.19,0.11,8.87,30.13,131.62,22,7,4,1,14,15,36,19,4,1
119,10,1,9,2191.2,0.04,25.51,85.9,3105.32,68,9,38,0,19,54,209,145,19,1
29,2,1,2,379.78,0.07,14.3,26.56,301.71,22,0,5,0,13,15,46,33,3,1
30,6,1,1,594.5,0.04,27.66,21.5,913.43,23,2,3,0,15,16,61,59,11,1
101,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
147,21,11,15,2402.33,0.03,31.86,75.4,4252.4,115,6,24,0,22,58,215,168,41,1
112,12,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
51,9,5,6,533.62,0.07,14.88,35.86,441.19,38,2,9,0,11,17,65,46,17,1
19,2,1,2,194.51,0.18,5.6,34.73,60.52,12,1,4,0,8,15,22,21,3,1
25,5,1,3,330.34,0.08,12.59,26.23,231.13,20,0,3,0,13,16,37,31,9,1
141,17,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
50,2,1,2,545.78,0.08,11.96,45.63,362.64,27,12,9,0,13,25,58,46,3,1
50,2,1,2,545.78,0.08,11.96,45.63,362.64,27,11,10,0,13,25,58,46,3,1
41,2,1,2,342.35,0.11,9.12,37.55,173.41,20,12,7,0,10,17,41,31,3,1
39,5,1,5,570.02,0.06,17.88,31.88,566.29,32,0,5,0,16,17,75,38,9,1
71,14,11,3,1329.43,0.02,42.61,31.2,3146.97,59,3,6,0,20,23,147,98,27,1
20,5,1,4,259.6,0.16,6.11,42.48,88.13,15,1,2,0,10,18,32,22,9,1
25,5,1,3,171.3,0.12,8.67,19.77,82.48,13,1,9,0,12,9,26,13,9,1
18,2,1,2,165.67,0.18,5.45,30.37,50.2,16,0,0,0,8,11,24,15,3,1
34,4,1,4,373.29,0.09,10.68,34.94,221.57,27,0,5,0,14,19,45,29,7,1
43,5,1,4,632.19,0.06,16.65,37.98,584.63,28,6,6,1,17,24,71,47,9,1
30,8,1,5,351.75,0.06,15.79,22.28,308.48,18,8,2,0,17,14,45,26,15,1
26,1,1,1,508,0.05,21.5,23.63,606.78,19,2,3,0,8,8,84,43,1,1
49,10,7,4,868.2,0.05,20.09,43.22,968.98,40,0,7,0,15,28,85,75,19,1
35,5,1,4,320,0.12,8.21,38.97,145.96,28,0,4,1,13,19,40,24,9,1
28,3,1,3,350,0.11,9.24,37.89,179.61,20,0,5,1,13,19,43,27,5,1
102,34,15,11,2528.93,0.03,28.76,87.92,4041.33,74,19,5,2,18,51,251,163,67,1
74,20,1,20,2793.92,0.02,48.49,57.62,7525.78,70,0,2,0,42,68,255,157,21,1
88,9,1,1,1421.28,0.03,37.3,38.1,2945.41,65,5,16,0,27,38,131,105,17,1
167,21,10,14,3816.69,0.03,33.89,112.63,7185.27,130,13,16,4,23,75,358,221,41,1
201,32,17,3,3218.71,0.02,61.46,52.37,10989.8,161,21,19,0,25,48,284,236,63,1
118,31,13,14,2932.86,0.03,36.19,81.05,5896.26,90,10,9,7,21,56,275,193,61,1
187,39,25,17,6768.29,0.02,59.89,113.02,22518.25,160,13,13,1,31,110,523,425,77,1
195,76,64,14,4502.15,0.01,142.86,31.52,35731.31,169,7,11,5,26,28,522,320,151,1
58,12,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1
74,9,4,5,1138.93,0.02,40.04,28.44,2533.59,53,6,5,8,31,24,135,62,16,1
520,75,51,30,15389.98,0.02,64.26,239.48,54945.21,396,96,27,1,35,241,1013,885,149,1
89,14,8,6,1302,0.02,50.14,25.97,3627,69,2,12,3,36,28,139,78,23,1
10,1,1,1,66.61,0.29,3.43,19.43,12.69,5,0,3,0,6,7,10,8,1,1
19,2,1,2,242.03,0.2,4.93,49.11,66.27,15,0,2,0,6,14,33,23,3,1
75,13,6,8,1105.43,0.03,29.24,37.81,1795.7,50,12,11,0,17,25,119,86,25,1
74,13,6,8,1105.43,0.03,29.24,37.81,1795.7,50,12,10,0,17,25,119,86,25,1
44,3,1,3,489.75,0.11,9.05,54.1,246.31,26,0,16,0,8,19,60,43,5,1
63,6,1,6,977.05,0.08,12.63,77.33,685.79,47,5,8,0,14,41,95,74,11,1
61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
90,6,1,4,1805.65,0.04,23.39,77.19,2346.63,64,6,17,0,20,56,158,131,11,1
248,58,48,45,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1
175,57,47,40,4036.82,0.03,30.46,132.52,6831.86,122,30,21,0,21,81,370,235,113,1
355,88,66,82,0,0,0,0,0,0,0,0,0,0,0,0,0,181,1
85,24,23,20,1473.05,0.03,30.65,48.07,2507.87,59,18,6,0,19,31,161,100,47,1
136,10,3,7,1813.42,0.03,34.5,52.56,3475.71,77,27,25,2,20,40,169,138,19,1
92,8,1,7,1031,0.07,13.43,76.77,769.26,62,13,15,0,15,43,99,77,15,1
44,4,1,4,602.54,0.06,17.58,34.28,588.31,23,3,16,0,19,20,77,37,7,1
41,4,1,3,665,0.03,29.47,22.57,1088.63,22,10,7,0,17,15,81,52,7,1
61,7,1,7,1210.9,0.05,21.72,55.74,1461.43,45,2,10,2,18,29,148,70,13,1
18,4,1,2,254.79,0.13,7.44,34.24,105.33,13,0,3,0,11,17,30,23,7,1
237,35,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
23,2,1,2,282.39,0.14,7.15,39.49,112.17,22,0,1,0,11,20,31,26,3,1
25,5,4,5,415,0.07,15,27.67,345.83,18,0,5,0,15,17,49,34,9,1
11,5,5,1,114.45,0.1,9.6,11.92,61.04,9,0,0,0,12,5,20,8,9,1
28,3,1,3,401.91,0.1,10.5,38.28,234.45,19,0,6,1,14,20,49,30,5,1
147,19,7,14,2994.93,0.03,31.13,96.21,5179.65,108,17,20,0,24,69,279,179,37,1
105,19,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1
50,3,1,3,603.51,0.05,20.64,29.24,692.12,33,2,5,8,17,21,64,51,5,1
48,7,3,4,905.43,0.03,33.33,27.16,1676.72,34,4,8,0,20,21,99,70,13,1
47,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
204,29,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
218,24,12,14,6180.34,0.02,51.89,119.1,17816.77,157,31,30,0,36,128,471,369,47,1
33,4,3,4,622.38,0.05,20.09,30.98,694.53,26,0,5,0,21,23,70,44,7,1
69,4,1,2,500.37,0.09,11.05,45.27,307.25,41,15,11,0,10,19,61,42,7,1
31,7,5,3,294.41,0.06,17.27,17.04,282.52,16,8,3,2,19,11,40,20,13,1
336,68,32,16,12155,0.01,101.46,119.8,68512.55,216,91,27,0,40,96,1228,487,133,1
33,3,1,2,282.39,0.08,12.66,22.31,198.55,17,8,6,0,15,16,30,27,5,1
50,4,1,3,551.83,0.05,21.16,26.08,648.68,22,18,8,0,19,22,54,49,7,1
185,41,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1
69,9,5,3,687.32,0.02,41.33,16.63,1578.3,44,15,8,0,20,15,72,62,17,1
101,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
115,22,12,14,2002.29,0.02,65.86,30.4,7326.57,99,7,7,0,21,22,231,138,43,1
60,13,12,9,847.82,0.07,14.06,60.3,662.27,51,2,4,1,16,33,93,58,25,1
39,8,6,6,695.97,0.04,23.83,29.2,921.51,33,0,4,0,22,24,74,52,15,1
58,11,6,7,1300.81,0.03,36.31,35.82,2624.04,54,0,2,0,26,29,144,81,21,1
47,4,4,3,642.91,0.07,14.4,44.65,514.32,32,0,13,0,16,25,75,45,7,1
85,7,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
41,3,1,3,372.92,0.11,9.33,39.96,193.37,25,7,6,0,12,18,48,28,5,1
117,17,7,15,2094.02,0.03,31.5,66.48,3664.53,88,3,22,2,32,64,192,126,26,1
80,3,1,3,2040,0.05,20.72,98.46,2348.27,68,0,9,1,14,50,192,148,5,1
28,3,1,3,213.97,0.1,9.69,22.08,115.21,16,4,3,1,14,13,27,18,5,1
95,10,1,9,1917.74,0.04,27.65,69.36,2945.72,80,0,10,0,22,37,233,93,17,1
6,1,1,1,23.26,0.5,2,11.63,2.58,3,0,1,0,3,3,5,4,1,1
109,7,4,5,1976.52,0.03,35.71,55.34,3921.66,73,13,21,0,24,42,202,125,13,1
38,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
143,3,1,3,3148.93,0.06,16.32,192.91,2855.59,95,7,31,8,16,99,258,202,5,1
126,32,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1
195,6,4,5,7352.81,0.03,34.15,215.29,13951.49,138,6,49,0,18,117,595,444,11,1
286,9,3,5,10466.58,0.02,62.21,168.25,36173.72,250,0,34,0,22,119,793,673,17,1
286,1,1,1,13561.77,0.04,26.67,508.42,20097.25,218,0,66,0,12,175,1019,778,1,1
70,1,1,1,1298.01,0.15,6.55,198.03,472.66,55,0,11,2,7,55,115,103,1,1
298,9,1,4,8681.69,0.02,52.04,166.82,25100.72,245,12,37,2,22,119,653,563,17,1
41,6,1,4,863.51,0.07,13.53,63.84,648.93,32,1,6,0,13,37,76,77,11,1
74,11,1,3,1585.62,0.04,27.78,57.08,2446.95,46,1,24,0,12,27,175,125,21,1
45,6,1,6,376.47,0.09,10.67,35.29,223.09,26,7,8,2,16,18,50,24,11,1
271,3,1,3,9102.93,0.03,33.02,275.71,16696.66,234,3,31,1,14,127,676,599,5,1
105,4,1,3,1942.05,0.07,15.32,126.75,1653.05,74,11,18,0,15,70,160,143,7,1
57,6,5,2,867.71,0.03,28.7,30.24,1383.31,41,5,9,0,22,23,98,60,11,1
472,24,13,9,14791.5,0.01,71.58,206.64,58820.26,383,8,78,1,27,164,1058,903,47,1
133,3,1,1,3821.46,0.04,22.34,171.1,4741.83,112,2,17,0,15,91,297,271,5,1
160,4,1,4,3390.06,0.07,13.45,252.04,2533.22,122,1,31,4,11,101,251,247,7,1
56,10,5,10,1043.45,0.06,17.27,60.44,1000.88,46,0,5,0,13,32,105,85,19,1
108,19,10,11,1514.72,0.04,25.05,60.46,2108.2,68,21,17,0,17,38,150,112,37,1
42,4,1,4,583.92,0.04,25,23.36,811,30,7,3,0,15,15,69,50,7,1
76,5,1,4,1150.53,0.05,18.54,62.05,1185.15,51,12,8,2,20,48,100,89,9,1
34,2,1,1,573.24,0.03,32.58,17.59,1037.67,23,1,8,0,17,12,72,46,3,1
32,2,1,2,767.78,0.07,14.03,54.72,598.53,23,0,7,0,15,31,81,58,3,1
66,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
86,54,54,20,2020.5,0.04,28.47,70.97,3195.82,82,0,2,0,16,34,237,121,107,1
47,8,3,7,922.2,0.06,15.59,59.15,798.83,40,1,3,1,15,38,82,79,15,1
149,19,4,13,2783.35,0.04,25.14,110.73,3886.85,89,25,33,0,21,66,274,158,37,1
84,12,1,11,807.47,0.05,20.8,38.83,932.87,65,6,9,2,15,22,94,61,23,1
50,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
62,4,3,2,1190.51,0.05,22.08,53.92,1460.43,39,9,12,0,19,37,119,86,7,1
61,3,1,3,946.1,0.06,16.94,55.85,890.38,42,3,14,0,11,25,106,77,5,1
40,4,1,3,743.4,0.06,15.41,48.25,636.32,33,0,5,0,16,27,85,52,7,1
25,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
127,28,15,16,3733.66,0.02,61.55,60.66,12767.22,119,2,4,0,27,59,312,269,55,1
195,23,11,10,2735.9,0.02,43.78,62.49,6654.98,116,60,17,0,22,51,239,203,45,1
62,11,6,8,1200.06,0.04,23.78,50.46,1585.66,50,1,9,0,22,37,124,80,21,1
511,69,38,34,8848.84,0.02,65.69,134.7,32294.33,366,85,44,14,27,112,702,545,137,1
97,16,6,12,2244.45,0.03,31.91,70.33,3979.53,77,2,16,0,20,47,220,150,31,1
81,23,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1
47,5,1,4,403.82,0.06,15.5,26.05,347.73,28,10,7,0,14,14,53,31,9,1
66,6,1,6,955.39,0.05,20.79,45.95,1103.64,47,7,9,1,18,29,105,67,11,1
47,1,1,1,877.72,0.07,15,58.51,731.44,27,1,17,0,11,22,114,60,1,1
80,8,6,5,1991.38,0.04,26.47,75.24,2928.3,65,0,12,0,21,48,205,121,15,1
108,15,3,9,2208.46,0.03,37.18,59.41,4561.16,87,9,9,0,21,37,246,131,29,1
107,16,10,13,2209.75,0.03,32.52,67.95,3992.49,76,11,15,2,22,46,227,136,31,1
27,3,3,3,326.98,0.1,10.47,31.22,190.23,16,1,4,4,13,18,37,29,5,1
89,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1
126,32,31,5,1948.32,0.02,59.62,32.68,6453.34,115,1,6,1,26,29,204,133,63,1
75,13,4,5,1242.96,0.03,29.86,41.63,2061.88,59,0,4,8,21,32,126,91,25,1
90,18,15,10,1601.44,0.03,37.33,42.9,3321.5,68,8,5,5,22,33,165,112,35,1
44,3,1,2,523.19,0.04,23.16,22.59,673.06,31,7,3,1,19,16,63,39,5,1
59,10,6,6,1634.11,0.05,19.64,83.22,1782.67,48,5,5,1,18,55,144,120,19,1
66,12,1,11,1220.91,0.04,26.28,46.46,1782.53,50,6,8,0,18,25,152,73,23,1
141,16,12,13,2133.53,0.02,46.87,45.52,5555.28,96,7,34,2,39,57,187,137,28,1
15,34,25,10,7119.26,0.01,141.95,50.15,56144.21,12,0,1,0,22,21,1041,271,67,1
79,35,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1
262,30,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1
117,18,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
46,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
49,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
95,11,9,3,733.49,0.02,44,16.67,1792.97,48,36,9,0,22,13,91,52,21,1
33,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
59,13,10,5,695.61,0.07,13.89,50.08,536.74,48,1,8,0,15,27,79,50,25,1
63,19,13,12,1466.35,0.02,49.11,29.86,4000.78,54,1,5,1,26,27,154,102,37,1
57,6,1,6,851.99,0.08,12.77,66.7,604.64,46,0,8,0,11,31,86,72,11,1
99,2,1,1,2454.65,0.06,17.5,140.27,2386.47,81,0,16,0,14,70,209,175,3,1
47,2,1,2,683.21,0.11,9.43,72.46,357.87,29,5,11,0,12,35,68,55,3,1
52,8,5,7,704.27,0.05,21.28,33.1,832.6,41,1,8,0,19,25,73,56,15,1
27,8,7,1,1085.67,0.03,30,36.19,1809.46,23,0,2,0,20,20,144,60,15,1
129,16,16,1,784.81,0.02,50.25,15.62,2190.93,46,14,61,6,15,10,102,67,31,1
107,27,21,1,1168.19,0.02,55.96,20.87,3631.86,31,36,29,9,15,13,146,97,53,1
411,4,1,2,15210.8,0.02,56.51,269.18,47750.95,349,5,55,0,17,142,1136,944,7,1
22,3,1,3,334.74,0.07,13.65,24.52,253.85,17,0,2,1,13,10,53,21,4,1
53,2,1,2,1763.82,0.07,15,117.59,1469.85,44,0,7,0,16,64,159,120,3,1
39,5,1,3,191.82,0.1,10,19.18,106.56,23,11,2,1,9,9,26,20,9,1
92,5,3,4,2726.85,0.05,19.68,138.59,2980.65,84,0,6,0,15,77,216,202,9,1
94,14,8,13,1320.51,0.09,11.5,114.83,843.66,62,12,16,2,15,60,120,92,27,1
70,1,1,1,946.28,0.49,2.02,466.75,106.58,39,0,29,0,4,73,77,74,1,1
7,2,1,1,41.21,0.25,4,10.3,9.16,5,0,0,0,6,3,9,4,3,1
34,4,1,4,780.66,0.06,15.71,49.68,681.53,28,0,3,0,15,21,107,44,7,1
5,1,1,1,16.25,0.67,1.5,10.84,1.35,3,0,0,0,3,2,5,2,1,1
157,7,1,6,2626.61,0.06,17.71,148.33,2584.05,76,10,63,6,20,96,213,170,13,1
194,28,15,14,3439.65,0.03,39.9,86.2,7625.09,134,23,30,5,26,72,299,221,55,1
13,4,4,3,120.93,0.11,9.43,12.83,63.34,10,0,1,0,11,7,17,12,7,1
74,8,3,3,1148.9,0.02,47.45,24.21,3028.92,49,19,4,0,24,22,121,87,15,1
385,26,1,24,11410.03,0.01,101.88,111.99,64582.57,272,25,83,3,46,128,966,567,30,1
105,30,19,13,2060.44,0.04,25.73,80.08,2945.16,84,5,11,3,22,59,187,138,59,1
27,4,1,4,643.4,0.08,11.79,54.59,421.27,22,0,3,0,15,35,59,55,7,1
222,51,40,31,6163.84,0.01,83.5,73.82,28593.39,179,22,15,3,44,88,541,334,96,1
125,23,10,16,1994.4,0.05,21.17,94.22,2345.27,100,10,12,1,21,63,185,127,45,1
23,3,1,2,178.38,0.16,6.23,28.63,61.75,17,0,4,0,9,13,22,18,5,1
29,5,4,4,396.34,0.08,12.28,32.28,270.34,19,3,5,0,13,18,46,34,9,1
37,3,1,2,765,0.04,27.5,27.82,1168.75,29,0,5,1,16,16,98,55,5,1
24,10,6,1,229.25,0.11,9.31,24.63,118.54,20,0,2,0,11,13,28,22,19,1
580,36,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1
64,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
57,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
123,53,53,22,2911.6,0.02,56.76,51.3,9180.73,84,18,18,0,25,37,321,168,105,1
96,10,6,4,1231.16,0.04,27.18,45.3,1858.81,52,30,12,0,22,34,128,84,19,1
29,10,5,6,610,0.04,24.5,24.9,830.28,24,0,3,0,16,16,73,49,19,1
182,42,27,25,5219.64,0.02,65.26,79.97,18927.08,148,5,7,20,30,74,457,322,83,1
92,3,1,3,3609.47,0.04,28.37,127.21,5689.93,71,6,11,0,18,72,329,227,5,1
122,17,3,12,2542.44,0.02,44.82,56.72,6330.75,86,12,18,4,23,39,275,152,33,1
24,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
175,63,61,22,4317.33,0.01,75.2,57.41,18037.5,129,24,15,3,21,37,472,265,125,1
106,27,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
44,5,4,5,707.82,0.04,23.98,29.52,942.82,34,0,8,0,19,21,80,53,9,1
101,11,6,9,1613.58,0.04,27.38,58.94,2454.23,72,12,13,0,22,45,154,112,21,1
28,4,4,4,332.84,0.11,9.12,36.51,168.6,16,5,5,0,10,17,39,31,7,1
137,33,20,19,3829.97,0.02,43.11,88.85,9171.78,117,0,17,0,26,76,322,252,65,1
6,1,1,1,76.15,0.33,3,25.38,12.69,4,0,0,0,6,8,12,8,1,1
252,69,59,52,9309.12,0.01,113.26,82.19,58573.82,234,7,5,2,26,66,852,575,137,1
43,8,1,4,503.92,0.04,27.44,18.36,768.32,34,1,6,0,13,9,75,38,15,1
46,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
64,13,10,4,1105.8,0.04,25.65,43.11,1575.68,44,12,4,0,27,37,118,73,25,1
80,13,10,11,1397.61,0.03,37.18,37.59,2887.11,51,17,7,3,23,30,147,97,25,1
45,8,3,5,1008,0.05,18.51,54.45,1036.68,33,5,4,0,23,41,102,66,15,1
116,18,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
125,11,4,7,1100.24,0.02,40.02,27.49,2446.19,45,10,61,7,23,25,110,87,21,1
48,13,11,7,927.43,0.04,23.68,39.17,1219.9,36,6,2,2,23,34,89,70,25,1
65,10,6,4,911.65,0.03,35.05,26.01,1775.33,52,4,7,0,18,19,101,74,19,1
55,9,1,6,645.69,0.06,16.81,38.42,602.92,40,0,13,0,23,26,77,38,14,1
15,3,1,2,220.08,0.1,10.05,21.91,122.82,11,0,2,0,13,11,31,17,5,1
23,3,1,3,339.29,0.06,16.67,20.36,314.15,17,0,4,0,15,9,54,20,5,1
80,7,1,3,2082,0.04,25.87,80.49,2991.99,64,6,10,0,15,49,178,169,13,1
61,8,1,7,932.04,0.04,28.52,32.68,1476.69,43,3,12,1,22,27,96,70,12,1
129,17,4,11,1931.02,0.03,31.88,60.58,3419.79,88,18,20,1,22,49,172,142,33,1
194,25,5,22,2726.28,0.03,31.57,86.36,4781.48,129,40,17,6,24,65,250,171,45,1
11,1,1,1,112,0.12,8.33,13.44,51.85,6,0,3,0,10,6,18,10,1,1
14,1,1,1,159.91,0.35,2.83,56.44,25.17,10,0,2,0,5,15,20,17,1,1
23,3,1,1,300.23,0.06,16.88,17.79,281.47,17,1,3,0,10,8,45,27,5,1
40,6,3,6,405,0.1,9.6,42.19,216,25,6,7,0,12,20,49,32,11,1
42,5,1,5,555.41,0.09,11,50.49,339.42,33,0,7,0,14,28,59,44,7,1
52,5,4,4,279.69,0.1,9.63,29.06,149.56,17,10,21,2,14,16,35,22,9,1
33,1,1,1,216.64,0.11,8.73,24.82,105.04,12,5,14,0,8,11,27,24,1,1
36,3,1,3,445,0.08,13.22,33.66,326.88,25,5,4,0,14,18,55,34,5,1
18,2,1,2,214.05,0.09,10.8,19.82,128.43,15,0,1,0,12,10,30,18,3,1
19,2,1,2,249.73,0.08,12,20.81,166.49,16,0,1,0,12,10,36,20,3,1
60,7,5,7,750.39,0.07,14.69,51.1,612.2,41,8,9,0,13,27,80,61,13,1
17,2,1,2,182.84,0.18,5.71,32,58.04,11,0,4,0,8,14,21,20,3,1
94,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
134,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
297,49,26,21,6724.66,0.01,70.24,95.74,26239.38,265,10,20,0,36,102,550,398,97,1
131,21,5,13,2745.71,0.03,37.76,72.71,5760.18,113,1,15,0,26,63,244,183,41,1
36,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
35,6,1,4,645.73,0.06,17.64,36.61,632.81,32,0,1,0,18,25,70,49,11,1
226,9,1,9,5333.38,0.02,44.9,118.79,13303.49,162,13,49,0,24,89,449,333,15,1
43,6,1,6,884.9,0.11,9.23,95.86,453.79,31,0,9,1,12,39,96,60,11,1
129,17,14,7,1168.24,0.06,16.21,72.07,1052.1,69,38,20,0,16,38,126,77,33,1
75,9,4,6,1139.33,0.03,30.33,37.56,1919.99,45,14,14,0,21,27,126,78,17,1
43,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
35,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
16,1,1,1,176.47,0.22,4.47,39.47,43.83,12,1,2,1,8,17,19,19,1,1
27,5,3,3,358.15,0.06,16.2,22.11,322.34,21,0,4,0,18,15,44,27,9,1
140,26,10,15,3236.98,0.02,51.42,62.96,9246.1,113,8,17,0,25,53,297,218,51,1
90,7,5,4,1456.11,0.03,36.67,39.71,2966.16,63,0,16,9,20,30,148,110,13,1
17,1,1,1,124,0.4,2.5,49.6,17.22,6,6,3,0,4,12,16,15,1,1
18,4,3,3,126.71,0.1,10.08,12.57,70.98,8,4,3,1,11,6,20,11,7,1
120,16,4,10,2218.51,0.02,47.69,46.52,5877.37,89,4,17,5,32,51,196,152,25,1
39,5,4,3,394.84,0.09,10.59,37.29,232.26,24,7,5,0,9,17,44,40,9,1
193,35,16,24,3570,0.01,67.04,53.25,13295.59,157,22,12,0,23,41,356,239,69,1
143,22,11,16,2762.29,0.02,47.25,58.46,7251.01,123,5,8,5,22,44,268,189,43,1
71,5,1,2,1189.17,0.03,30.89,38.5,2040.46,46,13,12,0,23,35,109,94,9,1
28,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
15,2,1,2,196,0.08,12.86,15.24,140,12,0,1,0,9,7,29,20,3,1
256,15,7,13,5099.94,0.02,40.05,127.35,11346.53,154,60,35,5,23,85,459,296,29,1
116,16,7,10,2301.39,0.02,40.19,57.26,5138.32,91,5,17,0,30,53,219,142,31,1
144,13,1,7,2282.47,0.03,30.7,74.35,3892.58,120,9,13,0,16,43,223,165,25,1
62,9,5,9,857.87,0.08,12.25,70.03,583.83,39,11,8,0,14,36,89,63,17,1
345,24,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
